--;0.00%;0.00%;0B / 0B;0B / 0B;0B / 0B;044784c76ab7b ;00:36:26
great_hermann;67.63%;2.60%;203.8MiB / 7.667GiB;124MB / 10.3MB;12.3MB / 16.7MB;8044784c76ab7b ;00:39:55
great_hermann;6.51%;2.17%;170.5MiB / 7.667GiB;124MB / 10.4MB;12.3MB / 16.7MB;7144784c76ab7b ;00:39:58
great_hermann;138.07%;2.46%;193.1MiB / 7.667GiB;125MB / 10.5MB;12.3MB / 16.7MB;8544784c76ab7b ;00:40:00
great_hermann;137.26%;2.46%;193.1MiB / 7.667GiB;127MB / 10.7MB;12.3MB / 16.7MB;7944784c76ab7b ;00:40:02
great_hermann;136.44%;2.18%;171.3MiB / 7.667GiB;129MB / 10.8MB;12.3MB / 16.7MB;7044784c76ab7b ;00:40:04
great_hermann;104.44%;3.00%;235.4MiB / 7.667GiB;130MB / 10.9MB;12.3MB / 16.7MB;7844784c76ab7b ;00:40:06
great_hermann;39.97%;2.42%;189.9MiB / 7.667GiB;131MB / 10.9MB;12.3MB / 18.1MB;7244784c76ab7b ;00:40:08
great_hermann;142.17%;2.28%;179MiB / 7.667GiB;132MB / 11.1MB;12.3MB / 18.1MB;7144784c76ab7b ;00:40:10
great_hermann;144.21%;3.13%;245.7MiB / 7.667GiB;134MB / 11.2MB;12.3MB / 18.1MB;7944784c76ab7b ;00:40:12
great_hermann;37.78%;3.44%;269.8MiB / 7.667GiB;134MB / 11.3MB;12.3MB / 18.1MB;8044784c76ab7b ;00:40:14
great_hermann;36.63%;3.39%;266.3MiB / 7.667GiB;134MB / 11.3MB;12.3MB / 18.1MB;8044784c76ab7b ;00:40:16
great_hermann;146.27%;2.98%;234.1MiB / 7.667GiB;137MB / 11.5MB;12.3MB / 18.1MB;7644784c76ab7b ;00:40:18
great_hermann;144.28%;2.99%;234.9MiB / 7.667GiB;139MB / 11.7MB;12.3MB / 18.1MB;7944784c76ab7b ;00:40:20
great_hermann;5.32%;2.38%;186.5MiB / 7.667GiB;139MB / 11.7MB;12.3MB / 18.1MB;7244784c76ab7b ;00:40:22
great_hermann;118.56%;2.25%;176.7MiB / 7.667GiB;142MB / 11.8MB;12.3MB / 18.1MB;5944784c76ab7b ;00:40:24
great_hermann;104.91%;2.96%;232.3MiB / 7.667GiB;144MB / 12MB;12.3MB / 18.1MB;8144784c76ab7b ;00:40:26
great_hermann;140.56%;2.95%;231.2MiB / 7.667GiB;146MB / 12.2MB;12.3MB / 18.1MB;7744784c76ab7b ;00:40:28
great_hermann;3.86%;2.39%;187.9MiB / 7.667GiB;146MB / 12.2MB;12.3MB / 18.1MB;7244784c76ab7b ;00:40:30
great_hermann;143.82%;2.27%;178.2MiB / 7.667GiB;148MB / 12.4MB;12.3MB / 18.1MB;5944784c76ab7b ;00:40:32
great_hermann;56.23%;2.78%;218.3MiB / 7.667GiB;149MB / 12.4MB;12.3MB / 18.1MB;8544784c76ab7b ;00:40:34
great_hermann;8.51%;2.39%;187.8MiB / 7.667GiB;149MB / 12.5MB;12.3MB / 18.1MB;7244784c76ab7b ;00:40:36
great_hermann;117.81%;3.14%;246.4MiB / 7.667GiB;150MB / 12.5MB;12.3MB / 18.1MB;7744784c76ab7b ;00:40:38
great_hermann;54.04%;2.39%;188MiB / 7.667GiB;152MB / 12.7MB;12.3MB / 18.1MB;7244784c76ab7b ;00:40:40
great_hermann;167.98%;2.28%;178.9MiB / 7.667GiB;153MB / 12.8MB;12.3MB / 18.1MB;5944784c76ab7b ;00:40:42
great_hermann;35.24%;2.40%;188.5MiB / 7.667GiB;154MB / 12.8MB;12.3MB / 18.1MB;7244784c76ab7b ;00:40:44
great_hermann;152.02%;2.41%;189.1MiB / 7.667GiB;155MB / 12.9MB;12.3MB / 18.1MB;6144784c76ab7b ;00:40:46
great_hermann;133.97%;3.22%;252.9MiB / 7.667GiB;157MB / 13.1MB;12.3MB / 18.1MB;7744784c76ab7b ;00:40:48
great_hermann;137.98%;3.14%;246.4MiB / 7.667GiB;159MB / 13.2MB;12.3MB / 18.1MB;8344784c76ab7b ;00:40:50
great_hermann;45.10%;2.69%;210.9MiB / 7.667GiB;160MB / 13.3MB;12.3MB / 18.1MB;8044784c76ab7b ;00:40:52
great_hermann;8.45%;2.43%;190.4MiB / 7.667GiB;160MB / 13.4MB;12.3MB / 18.1MB;7244784c76ab7b ;00:40:54
great_hermann;136.56%;2.67%;210MiB / 7.667GiB;162MB / 13.5MB;12.3MB / 18.1MB;7744784c76ab7b ;00:40:56
great_hermann;127.87%;2.62%;206.1MiB / 7.667GiB;163MB / 13.7MB;12.3MB / 18.1MB;7344784c76ab7b ;00:40:58
great_hermann;139.41%;2.44%;191.6MiB / 7.667GiB;165MB / 13.8MB;12.3MB / 18.1MB;7244784c76ab7b ;00:41:00
great_hermann;49.96%;2.74%;215.3MiB / 7.667GiB;166MB / 13.9MB;12.3MB / 18.1MB;7544784c76ab7b ;00:41:02
great_hermann;6.47%;2.44%;191.4MiB / 7.667GiB;166MB / 13.9MB;12.3MB / 18.1MB;7244784c76ab7b ;00:41:04
great_hermann;111.84%;2.90%;228.1MiB / 7.667GiB;168MB / 14.1MB;12.3MB / 18.1MB;7944784c76ab7b ;00:41:06
great_hermann;137.19%;2.98%;233.7MiB / 7.667GiB;170MB / 14.2MB;12.3MB / 18.1MB;7844784c76ab7b ;00:41:08
great_hermann;147.84%;2.97%;233.1MiB / 7.667GiB;172MB / 14.4MB;12.3MB / 18.1MB;7944784c76ab7b ;00:41:10
great_hermann;140.76%;2.95%;231.8MiB / 7.667GiB;174MB / 14.6MB;12.3MB / 18.1MB;7844784c76ab7b ;00:41:12
great_hermann;3.91%;2.46%;193.3MiB / 7.667GiB;174MB / 14.7MB;12.3MB / 18.1MB;7244784c76ab7b ;00:41:14
great_hermann;94.88%;2.99%;234.6MiB / 7.667GiB;179MB / 14.8MB;12.3MB / 18.1MB;8344784c76ab7b ;00:41:16
